GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041600154,1610612759,Spurs,SAS,San Antonio,265:00,101.4,103.8,102.3,105.8,-0.8,-1.9,0.39,1.6,12.3,0.196,0.733,0.436,9.391,9.6,0.469,0.517,1.0,0.194,96.92,94.19,78.49,104,0.468
0041600154,1610612763,Grizzlies,MEM,Memphis,265:00,102.3,105.8,101.4,103.8,0.8,1.9,0.5,0.83,14.1,0.267,0.804,0.564,21.383,22.1,0.537,0.594,1.0,0.197,96.92,94.19,78.49,104,0.532
0041600155,1610612759,Spurs,SAS,San Antonio,240:00,132.3,139.8,123.1,127.2,9.2,12.6,0.548,2.88,19.1,,0.722,,9.124,9.6,0.613,0.647,1.0,0.195,85.68,82.0,68.33,83,0.541
0041600155,1610612763,Grizzlies,MEM,Memphis,240:00,123.1,127.2,132.3,139.8,-9.2,-12.6,0.595,2.2,19.4,0.286,,,11.95,12.3,0.576,0.631,1.0,0.194,85.68,82.0,68.33,81,0.459
0041600156,1610612759,Spurs,SAS,San Antonio,240:00,122.6,122.6,112.2,114.3,10.4,8.3,0.351,1.08,11.5,0.429,0.78,0.602,14.286,14.3,0.526,0.585,1.0,0.2,84.78,84.0,70.0,84,0.58
0041600156,1610612763,Grizzlies,MEM,Memphis,240:00,112.2,114.3,122.6,122.6,-10.4,-8.3,0.469,1.36,13.9,0.22,0.571,0.398,12.856,13.1,0.535,0.589,1.0,0.199,84.78,84.0,70.0,84,0.42
0041600161,1610612745,Rockets,HOU,Houston,240:00,118.7,120.4,87.8,88.8,30.9,31.6,0.467,1.91,15.6,0.314,0.811,0.567,11.062,11.2,0.549,0.576,1.0,0.197,99.28,98.0,81.67,98,0.639
0041600161,1610612760,Thunder,OKC,Oklahoma City,240:00,87.8,88.8,118.7,120.4,-30.9,-31.6,0.633,1.27,15.2,0.189,0.686,0.433,15.133,15.3,0.426,0.477,1.0,0.2,99.28,98.0,81.67,98,0.361
0041600162,1610612745,Rockets,HOU,Houston,240:00,112.4,117.3,111.8,112.1,0.7,5.2,0.526,1.54,15.7,0.25,0.627,0.466,12.71,13.3,0.558,0.61,1.0,0.201,100.8,98.5,82.08,98,0.507
0041600162,1610612760,Thunder,OKC,Oklahoma City,240:00,111.8,112.1,112.4,117.3,-0.7,-5.2,0.5,2.86,14.7,0.373,0.75,0.534,7.048,7.1,0.448,0.508,1.0,0.203,100.8,98.5,82.08,99,0.493
